seed,m,n,n_estimate,sigma,2sigma,time
11,64,1000,944.6510597,TRUE,TRUE,0.271
22,64,1000,921.2039608,TRUE,TRUE,0.253
33,64,1000,749.8138013,FALSE,TRUE,0.273
44,64,1000,1135.456868,FALSE,TRUE,0.352
55,64,1000,996.2350204,TRUE,TRUE,0.284
66,64,1000,1087.895202,TRUE,TRUE,0.265
77,64,1000,896.9946568,TRUE,TRUE,0.271
88,64,1000,930.4635594,TRUE,TRUE,0.257
99,64,1000,1019.721058,TRUE,TRUE,0.282
111,64,1000,817.2761788,FALSE,TRUE,0.263
11,64,1000000,995954.8039,TRUE,TRUE,270.608
22,64,1000000,1203847.327,FALSE,TRUE,262.637
33,64,1000000,1036106.031,TRUE,TRUE,278.392
44,64,1000000,1039116.81,TRUE,TRUE,265.366
55,64,1000000,842127.1606,FALSE,TRUE,266.222
66,64,1000000,1089492.599,TRUE,TRUE,265.526
77,64,1000000,981667.2511,TRUE,TRUE,270.997
88,64,1000000,1421298.396,FALSE,FALSE,261.141
99,64,1000000,922199.5742,TRUE,TRUE,264.106
111,64,1000000,937035.7144,TRUE,TRUE,277.12
11,64,5000000,5810627.192,FALSE,TRUE,1398.66
22,64,5000000,7486494.93,FALSE,FALSE,1080.088
33,64,5000000,4356314.371,TRUE,TRUE,893.29
44,64,5000000,4863213.955,TRUE,TRUE,894.987
55,64,5000000,5623187.605,TRUE,TRUE,886.398
66,64,5000000,4955462.673,TRUE,TRUE,875.5
77,64,5000000,6323440.494,FALSE,FALSE,944.039
88,64,5000000,4674031.946,TRUE,TRUE,902.894
99,64,5000000,4538833.575,TRUE,TRUE,1101.013
111,64,5000000,5660096.306,FALSE,TRUE,1400.094
11,512,1000,963.3872888,TRUE,TRUE,0.354
22,512,1000,983.4682939,TRUE,TRUE,0.265
33,512,1000,997.3069742,TRUE,TRUE,0.272
44,512,1000,1026.159678,TRUE,TRUE,0.28
55,512,1000,1089.25479,FALSE,TRUE,0.257
66,512,1000,1026.159678,TRUE,TRUE,0.316
77,512,1000,919.3847647,FALSE,TRUE,0.267
88,512,1000,1048.91898,FALSE,TRUE,0.288
99,512,1000,1026.159678,TRUE,TRUE,0.342
111,512,1000,1041.219587,TRUE,TRUE,0.301
11,512,1000000,947199.6115,FALSE,TRUE,288.921
22,512,1000000,987911.4094,TRUE,TRUE,276.692
33,512,1000000,991229.8921,TRUE,TRUE,277.627
44,512,1000000,985053.7361,TRUE,TRUE,280.468
55,512,1000000,930072.5605,FALSE,TRUE,276.411
66,512,1000000,1041663.248,TRUE,TRUE,278.532
77,512,1000000,958076.9728,TRUE,TRUE,277.714
88,512,1000000,1077824.525,FALSE,TRUE,281.451
99,512,1000000,1023032.522,TRUE,TRUE,282.418
111,512,1000000,993465.9812,TRUE,TRUE,280.714
11,512,5000000,5018030.524,TRUE,TRUE,1391.332
22,512,5000000,5397730.871,FALSE,TRUE,1390.833
33,512,5000000,4975541.252,TRUE,TRUE,1390.794
44,512,5000000,4980157.508,TRUE,TRUE,1395.299
55,512,5000000,4566227.004,FALSE,TRUE,1400.263
66,512,5000000,5119809.433,TRUE,TRUE,1393.129
77,512,5000000,5468474.285,FALSE,FALSE,1421.591
88,512,5000000,5360984.004,FALSE,TRUE,1391.935
99,512,5000000,4931160.131,TRUE,TRUE,1381.228
111,512,5000000,4862912.934,TRUE,TRUE,1393.974
11,1024,1000,975.4481057,TRUE,TRUE,0.255
22,1024,1000,1017.790055,TRUE,TRUE,0.257
33,1024,1000,1017.790055,TRUE,TRUE,0.272
44,1024,1000,975.4481057,TRUE,TRUE,0.285
55,1024,1000,1045.171365,FALSE,TRUE,0.258
66,1024,1000,1023.208057,TRUE,TRUE,0.26
77,1024,1000,944.802427,FALSE,TRUE,0.297
88,1024,1000,1064.783456,FALSE,TRUE,0.286
99,1024,1000,1012.400569,TRUE,TRUE,0.262
111,1024,1000,1036.879822,FALSE,TRUE,0.27
11,1024,1000000,989846.4922,TRUE,TRUE,278.779
22,1024,1000000,1011110.434,TRUE,TRUE,276.214
33,1024,1000000,969760.4948,TRUE,TRUE,274.968
44,1024,1000000,1000318.744,TRUE,TRUE,276.593
55,1024,1000000,942432.8033,FALSE,TRUE,278.637
66,1024,1000000,1015504.696,TRUE,TRUE,277.037
77,1024,1000000,966246.554,FALSE,TRUE,275.993
88,1024,1000000,1005202.666,TRUE,TRUE,279.578
99,1024,1000000,972843.5303,TRUE,TRUE,278.157
111,1024,1000000,977149.113,TRUE,TRUE,277.055
11,1024,5000000,4968027.376,TRUE,TRUE,1394.026
22,1024,5000000,5087260.814,TRUE,TRUE,1386.425
33,1024,5000000,5117814.886,TRUE,TRUE,1388.747
44,1024,5000000,4898729.79,TRUE,TRUE,1388.347
55,1024,5000000,4765728.51,FALSE,TRUE,1390.75
66,1024,5000000,4946432.837,TRUE,TRUE,1386.455
77,1024,5000000,5208610.092,FALSE,TRUE,1407.485
88,1024,5000000,5141429.957,TRUE,TRUE,1387.589
99,1024,5000000,5050672.359,TRUE,TRUE,1385.183
111,1024,5000000,4812497.37,FALSE,TRUE,1389.484
11,2048,1000,985.0908333,TRUE,TRUE,0.263
22,2048,1000,994.8200678,TRUE,TRUE,0.265
33,2048,1000,1004.595743,TRUE,TRUE,0.259
44,2048,1000,991.5718514,TRUE,TRUE,0.261
55,2048,1000,993.1953156,TRUE,TRUE,0.266
66,2048,1000,998.0734441,TRUE,TRUE,0.259
77,2048,1000,945.0426272,FALSE,FALSE,0.295
88,2048,1000,1029.241046,FALSE,TRUE,0.306
99,2048,1000,1040.844477,FALSE,TRUE,0.258
111,2048,1000,1022.639912,TRUE,TRUE,0.257
11,2048,1000000,980432.1098,TRUE,TRUE,281.55
22,2048,1000000,1012000.792,TRUE,TRUE,276.671
33,2048,1000000,980703.3668,TRUE,TRUE,277.313
44,2048,1000000,1020115.7,TRUE,TRUE,276.077
55,2048,1000000,967712.5452,FALSE,TRUE,276.879
66,2048,1000000,1016579.232,TRUE,TRUE,278.99
77,2048,1000000,987296.183,TRUE,TRUE,276.866
88,2048,1000000,982547.6464,TRUE,TRUE,277.015
99,2048,1000000,967407.2343,FALSE,TRUE,279.816
111,2048,1000000,1015683.447,TRUE,TRUE,279.465
